Date,Open,High,Low,Close,Adj Close,Volume
,PTPI,PTPI,PTPI,PTPI,PTPI,PTPI
2022-08-31,171.25,175.0,164.0,164.0,164.0,349
2022-09-01,172.5,174.25,162.5,167.5,167.5,496
2022-09-02,175.0,175.0,160.25,167.25,167.25,87
2022-09-06,173.25,173.25,162.5,163.75,163.75,94
2022-09-07,160.0,167.5,152.75,159.75,159.75,349
2022-09-08,157.5,167.5,157.5,163.75,163.75,137
2022-09-09,158.5,175.0,158.5,170.0,170.0,307
2022-09-12,165.0,175.0,150.25,159.5,159.5,382
2022-09-13,160.0,172.5,157.75,170.0,170.0,435
2022-09-14,165.0,172.5,160.0,162.25,162.25,396
2022-09-15,160.0,168.0,160.0,163.75,163.75,270
2022-09-16,162.5,162.5,151.5,154.25,154.25,452
2022-09-19,161.25,161.25,140.0,141.5,141.5,505
2022-09-20,141.0,150.0,141.0,141.75,141.75,162
2022-09-21,142.5,147.5,137.75,140.25,140.25,148
2022-09-22,140.5,142.5,132.0,136.5,136.5,132
2022-09-23,132.5,140.0,94.0,117.25,117.25,544
2022-09-26,116.75,125.0,112.5,125.0,125.0,128
2022-09-27,135.0,135.0,115.0,125.0,125.0,100
2022-09-28,130.0,130.0,127.0,127.5,127.5,120
2022-09-29,137.5,137.5,120.25,127.5,127.5,126
2022-09-30,120.75,130.0,120.75,127.5,127.5,158
2022-10-03,135.0,137.5,112.0,125.25,125.25,192
2022-10-04,116.75,132.5,112.0,123.75,123.75,97
2022-10-05,115.0,123.25,115.0,120.0,120.0,94
2022-10-06,122.5,124.75,120.0,120.0,120.0,47
2022-10-07,115.0,121.25,115.0,116.25,116.25,39
2022-10-10,112.75,115.0,95.25,108.75,108.75,218
2022-10-11,101.75,119.0,98.5,105.0,105.0,120
2022-10-12,120.0,120.0,97.5,103.75,103.75,185
2022-10-13,103.75,110.0,98.0,107.5,107.5,318
2022-10-14,122.5,122.5,98.75,107.5,107.5,82
2022-10-17,107.5,107.5,101.5,103.75,103.75,155
2022-10-18,106.25,106.5,95.25,98.75,98.75,226
2022-10-19,97.5,102.5,92.5,93.75,93.75,222
2022-10-20,93.75,100.0,93.75,96.25,96.25,203
2022-10-21,95.0,97.5,95.0,95.0,95.0,46
2022-10-24,97.5,100.75,95.0,95.25,95.25,235
2022-10-25,104.5,152.25,100.0,132.25,132.25,15481
2022-10-26,120.0,132.5,112.5,123.75,123.75,1175
2022-10-27,117.25,123.75,114.75,116.5,116.5,337
2022-10-28,117.5,122.5,111.25,120.0,120.0,645
2022-10-31,122.5,125.0,120.0,120.0,120.0,458
2022-11-01,122.5,138.0,122.5,122.5,122.5,1004
2022-11-02,125.0,135.0,120.0,126.75,126.75,296
2022-11-03,127.5,127.5,113.0,125.0,125.0,324
2022-11-04,123.5,127.5,115.0,117.5,117.5,191
2022-11-07,123.5,127.25,112.5,117.5,117.5,96
2022-11-08,117.5,120.0,105.0,112.25,112.25,181
2022-11-09,115.0,117.5,105.0,112.5,112.5,276
2022-11-10,115.0,120.0,115.0,117.5,117.5,188
2022-11-11,115.0,125.0,115.0,120.25,120.25,360
2022-11-14,122.5,132.5,112.5,127.5,127.5,509
2022-11-15,127.5,127.5,115.25,122.5,122.5,474
2022-11-16,122.5,122.5,115.75,117.0,117.0,126
